answer,category
Dog,animal
Cat,animal
Cow,animal
Pig,animal
Horse,animal
Sheep,animal
Goat,animal
Chicken,animal
Duck,animal
Goose,animal
Fish,animal
Shark,animal
Whale,animal
Dolphin,animal
Tiger,animal
Lion,animal
Bear,animal
Wolf,animal
Fox,animal
Rabbit,animal
Deer,animal
Rat,animal
Zebra,animal
Giraffe,animal
Panda,animal
Koala,animal
Camel,animal
Ant,animal
Bee,animal
Butterfly,animal
Spider,animal
Crab,animal
Frog,animal
Turtle,animal
Snake,animal
Owl,animal
Batman,character
Superman,character
Spider Man,character
Hulk,character
Aquaman,character
The Joker,character
Mario,character
Luigi,character
Pikachu,character
Sonic,character
Shrek,character
Elsa,character
Aladdin,character
Woody,character
Buzz Lightyear,character
Nemo,character
Winnie the Pooh,character
Mickey Mouse,character
Goofy,character
Donald Duck,character
Gandalf,character
Frodo Baggins,character
Albus Dumbledore,character
Hermione Granger,character
Harry Potter,character
Sherlock Holmes,character
Piano,instrument
Guitar,instrument
Violin,instrument
Cello,instrument
Flute,instrument
Clarinet,instrument
Trumpet,instrument
Trombone,instrument
Tuba,instrument
Saxophone,instrument
Drums,instrument
Harp,instrument
Organ,instrument
Ukulele,instrument
Banjo,instrument
Xylophone,instrument
Harmonica,instrument
Tambourine,instrument
Triangle,instrument
Recorder,instrument
Rose,flower
Tulip,flower
Lily,flower
Daisy,flower
Sunflower,flower
Orchid,flower
Violet,flower
Jasmine,flower
Marigold,flower
Lotus,flower
Lavender,flower
Peony,flower
Carnation,flower
Iris,flower
Lilac,flower
Poppy,flower
Magnolia,flower
Daffodil,flower
Pansy,flower
Petunia,flower
Pen,stationery
Pencil,stationery
Eraser,stationery
Ruler,stationery
Marker,stationery
Highlighter,stationery
Stapler,stationery
Tape,stationery
Glue,stationery
Notebook,stationery
Notepad,stationery
Paperclip,stationery
Binder,stationery
Folder,stationery
Envelope,stationery
Pushpin,stationery
Scissors,stationery
Crayon,stationery
Sharpener,stationery
Whiteboard,stationery
Phone,electronics
Smartphone,electronics
Laptop,electronics
Tablet,electronics
Camera,electronics
Television,electronics
Monitor,electronics
Headphones,electronics
Earbuds,electronics
Speaker,electronics
Microphone,electronics
Keyboard,electronics
Printer,electronics
Webcam,electronics
Battery,electronics
Radio,electronics
Microwave,electronics
Refrigerator,electronics
Toaster,electronics
Oven,electronics
Fan,electronics
Calculator,electronics
Clock,electronics
Chair,furniture
Table,furniture
Sofa,furniture
Couch,furniture
Bed,furniture
Desk,furniture
Wardrobe,furniture
Closet,furniture
Dresser,furniture
Cabinet,furniture
Cupboard,furniture
Shelf,furniture
Bookshelf,furniture
Nightstand,furniture
Bench,furniture
Stool,furniture
Armchair,furniture
Recliner,furniture
Ottoman,furniture
Vanity,furniture
Mirror,furniture
Crib,furniture
Mattress,furniture
Sideboard,furniture
Albert Einstein,celebrity
Isaac Newton,celebrity
Nikola Tesla,celebrity
Wolfgang Amadeus Mozart,celebrity
Ludwig van Beethoven,celebrity
Johann Sebastian Bach,celebrity
Pablo Picasso,celebrity
William Shakespeare,celebrity
Elvis Presley,celebrity
Marilyn Monroe,celebrity
Charlie Chaplin,celebrity
Mahatma Gandhi,celebrity
Nelson Mandela,celebrity
Julius Caesar,celebrity
Napoleon Bonaparte,celebrity
Abraham Lincoln,celebrity
Winston Churchill,celebrity
John F Kennedy,celebrity
Princess Diana,celebrity
Steve Jobs,celebrity
David Bowie,celebrity
John Lennon,celebrity
Michael Jackson,celebrity
Muhammad Ali,celebrity
Alfred Hitchcock,celebrity
Ernest Hemingway,celebrity
George Orwell,celebrity
Charles Darwin,celebrity
Aristotle,celebrity
Plato,celebrity
Taylor Swift,celebrity
